Geography,Date,Total_Deaths
United_States,2022-11-23,1075779
United_States,2022-11-16,1073135
United_States,2022-11-09,1070869
United_States,2022-11-02,1068533
United_States,2022-10-26,1066057
United_States,2022-10-19,1062933
United_States,2022-10-12,1060415
United_States,2022-10-05,1057860
United_States,2022-09-28,1054850
United_States,2022-09-21,1051471
United_States,2022-09-14,1048350
United_States,2022-09-07,1045142
United_States,2022-08-31,1042188
United_States,2022-08-24,1038250
United_States,2022-08-17,1035138
United_States,2022-08-10,1031869
United_States,2022-08-03,1028254
United_States,2022-07-27,1024733
United_States,2022-07-20,1021566
United_States,2022-07-13,1018737
United_States,2022-07-06,1016016
United_States,2022-06-29,1013623
United_States,2022-06-22,1011065
United_States,2022-06-15,1009020
United_States,2022-06-08,1006840
United_States,2022-06-01,1004504
United_States,2022-05-25,1002400
United_States,2022-05-18,999748
United_States,2022-05-11,997485
United_States,2022-05-04,995109
United_States,2022-04-27,992338
United_States,2022-04-20,989407
United_States,2022-04-13,986340
United_States,2022-04-06,982586
United_States,2022-03-30,978754
United_States,2022-03-23,973702
United_States,2022-03-16,967958
United_States,2022-03-09,959892
United_States,2022-03-02,950763
United_States,2022-02-23,940116
United_States,2022-02-16,927562
United_States,2022-02-09,912670
United_States,2022-02-02,896637
United_States,2022-01-16,879368
United_States,2022-01-19,862404
United_States,2022-01-12,848188
United_States,2022-01-05,834908
United_States,2021-12-29,825288
United_States,2021-12-22,815285
United_States,2021-12-15,803640
United_States,2021-12-08,794049
United_States,2021-12-01,782806
